,Genre,Metascore,Released,Title,imdbID,imdbRating,imdbVotes
104,"Action, Adventure, Sci-Fi, Thriller",41,28 Mar 2013,G.I. Joe: Retaliation,tt1583421,5.8,"164,856"
105,"Action, Adventure, Sci-Fi",66,22 Jul 2011,Captain America: The First Avenger,tt0458339,6.9,"648,882"
106,"Action, Adventure, Sci-Fi",82,08 May 2009,Star Trek,tt0796366,8.0,"553,896"
107,"Comedy, Crime",47,21 Dec 2005,Fun with Dick and Jane,tt0369441,6.1,"124,372"
108,"Action, Drama, War",55,05 Dec 2003,The Last Samurai,tt0325710,7.7,"367,483"
109,"Action, Adventure, Comedy, Mystery, Sci-Fi",49,03 Jul 2002,Men in Black II,tt0120912,6.1,"311,124"
110,"Action, Adventure, Sci-Fi, Thriller",42,01 Jul 1998,Armageddon,tt0120591,6.7,"367,076"
111,"Action, Adventure, Sci-Fi",73,03 May 2002,Spider-Man,tt0145487,7.3,"632,874"
112,"Action, Drama, Mystery, Sci-Fi",56,06 Mar 2009,Watchmen,tt0409459,7.6,"451,359"
113,"Action, Adventure, Sci-Fi, Thriller",35,29 Jul 2005,Stealth,tt0382992,5.0,"49,506"
114,"Action, Adventure, Sci-Fi",61,13 Jun 2008,The Incredible Hulk,tt0800080,6.7,"392,435"
